Altium Designer Pick and Place Locations
G:\Courses\ALTIUM\2024\28Pins_2024\Project Outputs for 28Pins_2024\Pick Place\Pick Place for 28Pins_PCB(5V _ 3V3).txt

========================================================================================================================
File Design Information:

Date:       24/07/24
Time:       15:26
Revision:   Not in VersionControl
Variant:    5V / 3V3
Units used: mm

Designator    Footprint              Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer    Rotation Comment                  
SW1           1825910-6              63.5000      28.4000      63.5000   28.4000   66.7500   26.1500   TopLayer 270      1825910-6                
"SCKT FOR U1" 28_DIP_7.62MM_SOCKET   -443.4840    -443.9920    62.0650   20.1930   -443.4840 -443.9920 TopLayer 270      "28-DIP Socket"          
R25           R0805                  28.0000      8.7000       28.0000   8.7000    28.9500   8.7000    TopLayer 180      22R                      
R24           R0805                  64.9000      23.2000      64.9000   23.2000   64.9000   24.1500   TopLayer 270      22R                      
R23           R0805                  2.1000       25.4000      2.1000    25.4000   1.1500    25.4000   TopLayer 0        22R                      
R22           R0805                  25.2000      15.4000      25.2000   15.4000   25.2000   14.4500   TopLayer 90       560R                     
R17           R0805                  58.2000      34.9000      58.2000   34.9000   59.1500   34.9000   TopLayer 180      560R                     
R16           R0805                  41.6000      23.0000      41.6000   23.0000   42.5500   23.0000   TopLayer 180      1M                       
R15           R0805                  24.5000      44.0000      24.5000   44.0000   25.4500   44.0000   TopLayer 180      560R                     
R13           R0805                  38.1000      9.9000       38.1000   9.9000    39.0500   9.9000    TopLayer 180      22R                      
R12           R0805                  63.6000      42.3000      63.6000   42.3000   63.6000   41.3500   TopLayer 90       1k                       
R11           R0805                  58.0000      46.4000      58.0000   46.4000   58.0000   45.4500   TopLayer 90       1k                       
R10           R0805                  61.0000      46.4000      61.0000   46.4000   61.0000   45.4500   TopLayer 90       1k                       
R9            R0805                  22.1000      27.8000      22.1000   27.8000   22.1000   26.8500   TopLayer 90       1M                       
R8            R0805                  9.9000       17.3000      9.9000    17.3000   8.9500    17.3000   TopLayer 0        0R                       
R7            R0805                  9.9000       19.5000      9.9000    19.5000   8.9500    19.5000   TopLayer 0        22R                      
R6            R0805                  9.9000       21.6000      9.9000    21.6000   8.9500    21.6000   TopLayer 0        22R                      
R5            R0805                  9.2750       35.1750      9.2750    35.1750   10.2250   35.1750   TopLayer 180      22R                      
R3            R0805                  28.2000      41.7500      28.2000   41.7500   27.2500   41.7500   TopLayer 0        560R                     
R2            R0805                  28.2000      43.9500      28.2000   43.9500   27.2500   43.9500   TopLayer 0        560R                     
R1            R0805                  17.2000      39.7000      17.2000   39.7000   17.2000   38.7500   TopLayer 90       100k                     
L1            C1210_IND              2.1000       8.0000       2.1000    8.0000    2.1000    9.6000    TopLayer 270      "2u2 / 2A"               
JP4           HDR_1x3_2.54mm         14.1600      8.8000       11.6200   8.8000    11.6200   8.8000    TopLayer 90       "HDR 1x3"                
JP1           HDR_1x3_2.54mm         66.2000      44.3600      66.2000   46.9000   66.2000   46.9000   TopLayer 0        "HDR 1x3"                
J7            10118193               3.5370       20.1000      3.5370    20.1000   4.8745    21.4000   TopLayer 270      10118193-0001LF          
J6            HDR_2x3_2.54mm         5.0800       39.8780      2.5400    38.6080   2.5400    38.6080   TopLayer 90       "HDR 2x3"                
J5            HDR_2x3_2.54mm         5.0800       48.5140      2.5400    47.2440   2.5400    47.2440   TopLayer 90       "HDR 2x3"                
J4            HDR_Female_1x10_2.54mm 30.2260      50.8000      41.6560   50.8000   41.6560   50.8000   TopLayer 270      "HDR-Female 1x10 2.54mm" 
J3            HDR_Female_1x8_2.54mm  54.6100      50.8000      63.5000   50.8000   63.5000   50.8000   TopLayer 270      "HDR-Female 1x8 2.54mm"  
J2            HDR_Female_1x6_2.54mm  57.1500      2.5400       50.8000   2.5400    50.8000   2.5400    TopLayer 90       "HDR-Female 1x6 2.54mm"  
J1            HDR_Female_1x8_2.54mm  36.8300      2.5400       27.9400   2.5400    27.9400   2.5400    TopLayer 90       "HDR-Female 1x8 2.54mm"  
FB3           C0805                  44.7000      6.9000       44.7000   6.9000    44.7000   5.9500    TopLayer 90       MPZ2012S601AT000         
FB2           C0805                  47.5000      5.5000       47.5000   5.5000    46.5500   5.5000    TopLayer 0        MPZ2012S601AT000         
FB1           C0805                  19.8000      18.9000      19.8000   18.9000   19.8000   17.9500   TopLayer 90       MPZ2012S601AT000         
D6            SOD323                 61.7000      24.4000      61.7000   24.4000   60.4808   24.4000   TopLayer 0        BAT54HT1G                
D5            SOD323                 1.2000       28.3000      1.2000    28.3000   1.2000    29.5192   TopLayer 270      BAT54HT1G                
D4            LED_0603               24.6000      38.3000      24.6000   38.3000   23.8000   38.3000   TopLayer 0        Orange                   
D3            LED_0603               24.6000      40.1000      24.6000   40.1000   23.8000   40.1000   TopLayer 0        Orange                   
D2            LED_0603               24.6000      42.2000      24.6000   42.2000   23.8000   42.2000   TopLayer 360      Orange                   
D1            LED_0603               58.3000      36.7000      58.3000   36.7000   57.5000   36.7000   TopLayer 0        Green                    
C34           C0805                  58.2000      32.8000      58.2000   32.8000   59.1500   32.8000   TopLayer 180      "10uF / 16V"             
C33           C0805                  23.1000      11.5000      23.1000   11.5000   23.1000   12.4500   TopLayer 270      100n                     
C32           C0805                  64.9000      19.6000      64.9000   19.6000   64.9000   18.6500   TopLayer 90       100n                     
C31           C0805                  9.8000       23.6000      9.8000    23.6000   10.7500   23.6000   TopLayer 180      100n                     
C30           C0805                  5.9000       29.4250      5.9000    29.4250   6.8500    29.4250   TopLayer 180      100n                     
C29           C0805                  22.0000      18.9000      22.0000   18.9000   22.0000   19.8500   TopLayer 270      100n                     
C28           C0805                  66.0000      12.5000      66.0000   12.5000   66.9500   12.5000   TopLayer 180      100n                     
C27           C0805                  45.3000      25.5000      45.3000   25.5000   46.2500   25.5000   TopLayer 180      18p                      
C26           C0805                  21.5000      43.2000      21.5000   43.2000   21.5000   42.2500   TopLayer 90       100n                     
C25           C0805                  41.5000      25.5000      41.5000   25.5000   40.5500   25.5000   TopLayer 0        18p                      
C24           C0805                  45.4000      9.9000       45.4000   9.9000    46.3500   9.9000    TopLayer 180      100n                     
C23           C0805                  41.7000      9.9000       41.7000   9.9000    40.7500   9.9000    TopLayer 0        100n                     
C22           C0805                  41.7000      7.7000       41.7000   7.7000    40.7500   7.7000    TopLayer 0        "10uF / 16V"             
C21           C0805                  25.2000      48.5000      25.2000   48.5000   26.1500   48.5000   TopLayer 180      "10uF / 16V"             
C20           C0805                  45.4000      23.0000      45.4000   23.0000   44.4500   23.0000   TopLayer 0        100n                     
C19           C0805                  47.5000      7.7000       47.5000   7.7000    46.5500   7.7000    TopLayer 0        "10uF / 16V"             
C17           C0805                  3.1000       52.2000      3.1000    52.2000   4.0500    52.2000   TopLayer 180      100n                     
C16           C0805                  35.5000      5.8000       35.5000   5.8000    35.5000   6.7500    TopLayer 270      100n                     
C15           C0805                  30.5000      5.8000       30.5000   5.8000    30.5000   6.7500    TopLayer 270      100n                     
C14           C0805                  39.3000      4.9000       39.3000   4.9000    40.2500   4.9000    TopLayer 180      100n                     
C13           C0805                  20.8000      11.5000      20.8000   11.5000   20.8000   12.4500   TopLayer 270      "10uF / 16V"             
C12           C0805                  11.4000      12.1000      11.4000   12.1000   11.4000   13.0500   TopLayer 270      "10uF / 16V"             
C11           C0805                  63.6000      46.3000      63.6000   46.3000   63.6000   45.3500   TopLayer 90       100n                     
C10           C0805                  25.2000      24.2000      25.2000   24.2000   26.1500   24.2000   TopLayer 180      18p                      
C9            C0805                  25.2000      34.8000      25.2000   34.8000   26.1500   34.8000   TopLayer 180      18p                      
C8            C0805                  2.3000       44.2000      2.3000    44.2000   2.3000    45.1500   TopLayer 270      100n                     
C7            C0805                  13.8000      23.4000      13.8000   23.4000   14.7500   23.4000   TopLayer 180      "1uF / 25V"              
C6            C0805                  17.5000      22.7000      17.5000   22.7000   17.5000   21.7500   TopLayer 90       100n                     
C5            C0805                  22.1000      31.4000      22.1000   31.4000   22.1000   32.3500   TopLayer 270      100n                     
C4            C0805                  19.8000      22.7000      19.8000   22.7000   19.8000   21.7500   TopLayer 90       100n                     
C3            C0805                  22.0000      22.7000      22.0000   22.7000   22.0000   23.6500   TopLayer 270      "10uF / 16V"             
C2            C_ALU_C_SIZE           7.2000       4.0000       7.2000    4.0000    7.2000    1.9500    TopLayer 90       "100uF / 10V"            
C1            C_ALU_C_SIZE           7.2000       12.0000      7.2000    12.0000   7.2000    9.9500    TopLayer 90       "100uF / 10V"            
